Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,sp500
2012-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-01-13,0.9962505421640415,0.9879485634234256,0.9983399402941587,1.018136850783182,1.0141533854321247,0.9923013072450626,0.8067256991150442,0.9926148365630365,0.995052077190274
2012-01-17,1.0078549872530196,0.9964242617819028,1.004316035713279,1.0098928276999175,1.0325698358892108,0.996953735857872,0.9415929203539823,0.9983165169365272,0.9985874519490544
2012-01-18,1.0183203687396563,0.994040471618581,1.006972078121777,1.0494641384995878,1.0767919600838045,1.0028801107247836,0.9490265132743363,1.0051934806075387,1.0096796904670011
2012-01-19,1.0150929332706742,1.000662110961141,1.0099601258313373,1.055234954657873,1.1052691680605022,0.9998338465826555,0.9472566371681417,1.015770956953767,1.01466615206484
2012-01-20,0.9974133604834801,1.0001323665704578,1.0129481735408974,1.0420445177246496,1.0852611868176452,1.0441429015096721,0.9415929203539823,0.9306746702449276,1.0153454303357776
2012-01-23,1.0142860702505059,1.0,1.0092961152292126,1.0832646331409728,1.057750260923389,1.0522292597247977,0.9476106194690266,0.9299281846846041,1.015824006175222
2012-01-24,0.9976743799728133,0.9980134949539532,0.9990039508962832,1.0849134377576257,1.062922795659976,1.0630295752473624,0.9706194690265487,0.9226383776512698,1.0147819560015439
2012-01-25,1.0599682185141606,1.0041053899058299,1.0029879813085,1.0807914262159932,1.0674700760091544,1.0619218654900826,0.9900884601769911,0.9044692683620518,1.023589393284446
2012-01-26,1.0551508117219395,0.9973512912898611,0.9777556448288299,1.0758450123660346,1.0988462154943643,1.0577678915906747,1.024424814159292,0.902261627969427,1.0176997715167888
2012-01-27,1.0614395657571267,0.9872864657055631,0.9681274578974948,1.087386644682605,1.1104985094838262,1.0548878639453692,1.038230088495575,0.9211295446171538,1.0160787001157854
2012-01-30,1.0750373970677378,0.9821216002616449,0.9741035533166151,1.0840890354492991,1.0921957690295594,1.0661866341813353,1.046725663716814,0.9174925720572215,1.0135160247008876
2012-01-31,1.0832720112786733,0.9823864128622326,0.9764275904240508,1.0758450123660346,1.1052123556896862,1.0667405305997142,1.0290265486725665,0.9213360173115042,1.0130529015824006
2012-02-01,1.0825838221738489,0.9981459542273617,0.9827356911442334,1.1294311624072546,1.0200648788748605,1.0668512423120813,1.047079646017699,0.9224794843206803,1.0220686730991895
2012-02-02,1.0800446422564525,0.9961594359380364,0.9890438250649461,1.145919208573784,1.0329108635842439,1.0608141557328028,1.0707964601769913,0.9292770523395864,1.023187988421459
2012-02-03,1.0908659624306691,1.0109918418489778,0.994355909881942,1.1846661170651276,1.066787929673822,1.0725006689698033,1.1026548672566372,0.9470967595437124,1.0381320138942494
2012-02-06,1.1010465032641141,0.9993377963359079,0.9950198540830063,1.1558120362737014,1.040982244568156,1.067959035148839,1.125663681415929,0.9673622909084562,1.0376919768429178
2012-02-07,1.1125798503187037,0.9958945173912191,0.9973439575915022,1.1508656224237428,1.0469505446976286,1.070894504499122,1.1185840707964603,0.9636776401467089,1.0397916240833656
2012-02-08,1.131208681535126,0.9993377963359079,0.9966799137888476,1.176422093981863,1.0542829726594714,1.0686790019050845,1.1302654867256636,0.9685693936826458,1.0420377931300657
2012-02-09,1.17034105627426,1.005164878687197,0.9956838978856608,1.1929101401483924,1.0514409330988832,1.0696759999499972,1.1532744070796461,0.971126340510633,1.0435738718641452
2012-02-10,1.1709343095691476,0.992583697719939,0.9907038183697272,1.2061005770816158,1.0546240003545047,1.0657435325548015,1.1008849557522125,0.9623118417180369,1.036387506754149
2012-02-13,1.1927194117734028,0.9912593830947057,0.9973439575915022,1.2019785655399835,1.089012696089859,1.0668512423120813,1.1146902654867257,0.9723016269964779,1.0434349826321883
2012-02-14,1.2089988017987805,1.000662110961141,0.9983399402941587,1.1953833470733717,1.0873643529332717,1.0646358227975217,1.174159221238938,0.9684264611035799,1.04245465071401
2012-02-15,1.181019931204346,0.9960269766646278,0.991699867473444,1.1962077493816983,1.0485420811674788,1.0648019762148662,1.189380460176991,0.9617559669385946,1.0368429023543033
2012-02-16,1.1917938582262004,0.9968215468991777,0.9966799137888476,1.215169002473207,1.0227363164847054,1.0690667449061189,1.2099115044247788,0.9632806555095317,1.0482748274797375
2012-02-17,1.1915802983359904,0.997881022437266,0.9963479084877853,1.208573784006595,1.0373444396146825,1.0712821644206785,1.2378761415929205,0.9602948152946175,1.0507371516788886
2012-02-21,1.2217898697593648,1.0027810752805966,1.0073040834228393,1.1698268755152512,1.0359802322052045,1.071116011003334,1.2212389380530972,0.9751603965457964,1.051493601698186
2012-02-22,1.2174945019458103,1.0072837503037013,1.0053120848169959,1.1352019785655398,1.0264310190701822,1.0737745321444274,1.2113274690265488,0.965535875265917,1.047981500578927
2012-02-23,1.2254443419503156,1.0045026617798263,1.011288113835056,1.176422093981863,1.0168249083031566,1.094489048554599,1.222300849557522,0.9626294275147842,1.0524584801235044
2012-02-24,1.2397303955891312,1.0072837503037013,1.0073040834228393,1.1541632316570485,1.0181891213967138,1.0953198101026893,1.1946902654867257,0.9686487925230762,1.0542184407564648
2012-02-27,1.2476803684871585,0.9960269766646278,1.007968127225494,1.1269579554822753,1.0147786398195333,1.0940459469280652,1.1900884601769912,0.9677116961818722,1.0556464423002703
2012-02-28,1.2705807463532772,0.9953648789467653,1.0136122173435518,1.1566364385820278,1.044733759524449,1.0965383146518142,1.1968141946902655,0.9821326177823833,1.0591895438054804
